model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
am_plus_density,origin:literature_only,163,0.08591150951052112,0.011443775497887986,0.4252659990432223,0.1881126156573697,0.9340229543026624,0.09024771448901822,0.5553619021504884,0.9750046477040343,original_242
am_plus_sequence,all,242,0.11160695576409846,0.02128835493353759,0.3520335581313173,0.14547709567284245,1.312704465686728,0.2714966393751802,0.5469003813036413,0.8224206421477972,original_242
am_plus_sequence,kish_ge_5,242,0.11160695576409846,0.02128835493353759,0.3520335581313173,0.14547709567284245,1.312704465686728,0.2714966393751802,0.5469003813036413,0.8224206421477972,original_242
am_plus_sequence,origin:literature_and_population,79,0.16458786158178243,0.04180213044560184,0.20061817664537027,0.05728062997396012,2.0948354995374125,0.4279223755775746,0.5298628614271195,0.5075954154937892,original_242
am_plus_sequence,origin:literature_only,163,0.08592909343528228,0.011346095636279451,0.4254189270723591,0.18822262199315967,0.9336348235136962,0.10060270379490734,0.5551578295873544,0.9750046477040343,original_242
density_fit,all,242,0.10944206163148082,0.023331144305429253,0.35951269184224416,0.15129155423902402,1.3431030693560875,0.11439196215625226,0.5471979022530175,0.8224206421477972,original_242
density_fit,kish_ge_5,242,0.10944206163148082,0.023331144305429253,0.35951269184224416,0.15129155423902402,1.3431030693560875,0.11439196215625226,0.5471979022530175,0.8224206421477972,original_242
density_fit,origin:literature_and_population,79,0.17467290918602482,0.04839434365445929,0.20976542061006034,0.06543470193625547,2.150133510849932,0.32801655224585585,0.5427519377085019,0.5075954154937892,original_242
density_fit,origin:literature_only,163,0.07782711097621103,0.011183949528905493,0.43208959016949894,0.192903157502329,0.9519656161167401,-0.005289053890303499,0.5493526948850217,0.9750046477040343,original_242
density_unfitted,all,242,0.18005246601361136,0.0451685244085113,0.4611000858844196,0.25256218727000196,1.621579786103401,0.12523759374647883,0.39945915381464425,0.8224206421477972,original_242
density_unfitted,kish_ge_5,242,0.18005246601361136,0.0451685244085113,0.4611000858844196,0.25256218727000196,1.621579786103401,0.12523759374647883,0.39945915381464425,0.8224206421477972,original_242
density_unfitted,origin:literature_and_population,79,0.16236862253266407,0.042024600188597605,0.2326085063618568,0.07383337314299511,2.115691401661269,0.34675579708402493,0.3894598041064494,0.5075954154937892,original_242
density_unfitted,origin:literature_only,163,0.18862316316081898,0.04669226682184369,0.571841403567134,0.33918535485302975,1.3821023773360903,-0.000837964562138446,0.4043054644094136,0.9750046477040343,original_242
