probe_type,probe_label,polymer_b_angstrom,polymer_nu,sequence_separation,distance_angstrom,kernel,analysis_role,midpoint_or_half_distance_angstrom,weight,weight_at_zero,relative_to_zero_weight
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.2298488468555624,1.0,0.2298488468555624
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.06626065683011892,1.0,0.06626065683011892
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,normalized_sigmoid,primary,3.0,0.19085832720154403,1.0,0.19085832720154403
distance_probe,sine_a3_beyond_cutoff,,,,6.141592654589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.41192197235687755,1.0,0.41192197235687755
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,historical_sine_pi_cleanup,historical_reference_only,2.0,0.5353686008338514,0.9207354924039483,0.5814575469835073
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,historical_sine_pi_cleanup,historical_reference_only,3.0,0.7701511529340699,0.9987474933020273,0.7711169821190945
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,historical_sine_pi_cleanup,historical_reference_only,5.0,1.0,1.0,1.0
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,normalized_sigmoid,positive_tail_sensitivity,2.0,0.5297297350129343,1.0,0.5297297350129343
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,normalized_sigmoid,primary,3.0,0.6722742701109016,1.0,0.6722742701109016
distance_probe,sine_a5_plateau_end,,,,1.8584073464102069,normalized_sigmoid,positive_tail_sensitivity,5.0,0.7986234095221872,1.0,0.7986234095221872
distance_probe,sine_a5_cutoff,,,,8.141592653589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,sine_a5_cutoff,,,,8.141592653589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,sine_a5_cutoff,,,,8.141592653589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
