gene,universe,method,n_variants,mean,variance,normalized_mae,alpha_empirical,beta_empirical,strength,posterior_median,posterior_lt_01_pct,mean_weight,MAE_as_variance_valid
LDLR,histogram_subset,historical_weight_normalized_mse,871,0.7101252115147924,0.11026370196431082,0.2940049064458166,0.6155823663650212,0.251282175807621,0.8668645421726422,0.8653988170372657,2.1814006888633752,0.4326281374063354,False
LDLR,histogram_subset,carrier_weighted,871,0.20879271695868978,0.14194233263160067,0.3090841260673795,0.03420882511936813,0.12963225907963885,0.163841084199007,0.8886168731800219,3.4443168771526977,25.096440872560276,False
LDLR,histogram_subset,variant_equal_weight,871,0.8396131221274908,0.08029850339800369,0.2271607603620236,0.5684425205410192,0.10858658436463779,0.6770291049056569,0.935250626213344,2.1814006888633752,1.0,False
LDLR,missense_only,historical_formula_raw_fraction,522,0.6217157084150965,0.059060971802620224,0.31177050891626906,1.8540035768181125,1.1280725581800128,2.9820761349981253,0.7167124585425477,2.2988505747126435,0.4921177454908453,False
LDLR,missense_only,historical_formula_endpoint_clipped,522,0.6215633033096027,0.05899688960365059,0.3116099123141839,1.8566281762767758,1.130401731040618,2.987029907317394,0.7164802478742404,2.2988505747126435,0.4921177454908453,False
LDLR,missense_only,historical_weight_normalized_mse,522,0.6217157084150965,0.12001390387520361,0.31177050891626906,0.5966296847020773,0.36302064522609917,0.9596503299281764,0.8147523363316534,3.6398467432950192,0.4921177454908453,False
LDLR,missense_only,carrier_weighted,522,0.15412627331332118,0.10853179475550043,0.24331814324000198,0.031014428620550483,0.1702129672920314,0.20122739591258187,0.8583007947777288,5.555555555555555,38.92911877394636,False
LDLR,missense_only,variant_equal_weight,522,0.7651041470054449,0.10622993800879553,0.2841911304260746,0.5292989201006117,0.16250091155922755,0.6917998316598393,0.9039479088966473,3.8314176245210727,1.0,False
BRCA2,full_count_dataset,historical_formula_raw_fraction,6106,0.530730402577742,0.030432504489420857,0.2934552003897659,3.8126979004906447,3.371171502830671,7.1838694033213155,0.5880711999799844,1.3593187029151654,0.24851539788008722,False
BRCA2,full_count_dataset,historical_formula_endpoint_clipped,6106,0.5306236649969385,0.030393263322539308,0.2932619477266622,3.817652177367489,3.3769990023711975,7.1946511797386865,0.5879020438696837,1.3593187029151654,0.24851539788008722,False
BRCA2,full_count_dataset,historical_weight_normalized_mse,6106,0.530730402577742,0.12245721894506127,0.2934552003897659,0.5486784103229302,0.4851391506421385,1.0338175609650686,0.7614637812390928,2.7022600720602687,0.24851539788008722,False
BRCA2,full_count_dataset,carrier_weighted,6106,0.00217390988181842,0.0015482959970921847,0.004117616253723731,0.0008717677772450114,0.4001419929752476,0.4010137607524926,0.7143911043669342,5.699312151981657,900.8660334097609,False
BRCA2,full_count_dataset,variant_equal_weight,6106,0.8213168222475165,0.0961641092491698,0.25767318853208243,0.43209010509285295,0.09400420271694855,0.5260943078098015,0.938402101209682,2.9151654110710776,1.0,False
BRCA2,histogram_subset,historical_formula_raw_fraction,5962,0.5526815255385586,0.028401848823662357,0.29234451734126377,4.258149676200889,3.4463772157583623,7.704526891959251,0.6040707026889732,1.107011070110701,0.2406928482252929,False
BRCA2,histogram_subset,historical_formula_endpoint_clipped,5962,0.5525575753936148,0.0283659887807478,0.2921534359372622,4.2635292465707435,3.452461695248514,7.715990941819257,0.6038933819121325,1.107011070110701,0.2406928482252929,False
BRCA2,histogram_subset,historical_weight_normalized_mse,5962,0.5526815255385586,0.11800038527558453,0.29234451734126377,0.6052511387392177,0.489866231340111,1.0951173700793286,0.7661867357237543,2.214022140221402,0.2406928482252929,False
BRCA2,histogram_subset,carrier_weighted,5962,0.005287292918899621,0.0039723063497530174,0.010061145952694205,0.0017130880241209537,0.3222878800322275,0.3240009680563485,0.7565803290118809,4.360952700436095,338.7385105669239,False
BRCA2,histogram_subset,variant_equal_weight,5962,0.8361508837094069,0.08665094599090578,0.24104806331599285,0.48587543527433946,0.09521040071599715,0.5810858359903366,0.9397816370568138,2.214022140221402,1.0,False
BRCA2,missense_only,historical_formula_raw_fraction,3733,0.3777758937518842,0.01718016790194433,0.2102596794176623,4.791002493980495,7.8911261786529465,12.682128672633443,0.42325303558674127,1.687650683096705,0.24866770508094585,True
BRCA2,missense_only,historical_formula_endpoint_clipped,3733,0.37776680818484276,0.017162990409938423,0.21019271038853557,4.7960114047450375,7.899681548772282,12.69569295351732,0.4231995726259699,1.687650683096705,0.24866770508094585,True
BRCA2,missense_only,historical_weight_normalized_mse,3733,0.3777758937518842,0.06908885854860757,0.2102596794176623,0.9075323659975181,1.494771171648448,2.4023035376459663,0.5606590784422864,3.0806321993035093,0.24866770508094585,True
BRCA2,missense_only,carrier_weighted,3733,0.0030005418754884996,0.0019255577964078568,0.005655538385018324,0.0016610875650945216,0.5519347741237514,0.5535958616888459,0.6447372268848816,6.5362978837396195,536.3795874631663,False
BRCA2,missense_only,variant_equal_weight,3733,0.7652578327358553,0.11111449275893218,0.2996131236863549,0.4719309360577451,0.1447643996444141,0.6166953357021592,0.9104565984403361,3.428877578355211,1.0,False
KCNQ1,full_count_dataset,historical_formula_raw_fraction,699,0.6457629554969723,0.05706368077956179,0.2912979616075476,1.9429294523976495,1.065805309884265,3.0087347622819145,0.7341292519743634,2.0028612303290414,0.507168182714929,False
KCNQ1,full_count_dataset,historical_formula_endpoint_clipped,699,0.6456279914448366,0.05699421070576261,0.29113873409416907,1.9461235693805026,1.0681874505387479,3.0143110199192504,0.733905159505993,2.0028612303290414,0.507168182714929,False
KCNQ1,full_count_dataset,historical_weight_normalized_mse,699,0.6457629554969723,0.11251431522003887,0.2912979616075476,0.6671394686228769,0.36596325574980487,1.0331027243726818,0.8199976561131589,2.575107296137339,0.507168182714929,False
KCNQ1,full_count_dataset,carrier_weighted,699,0.09562987863939376,0.06729696199820204,0.1636294405500191,0.02726618020228809,0.25785579830721994,0.28512197850950805,0.7993530554926135,7.868383404864092,125.54363376251789,False
KCNQ1,full_count_dataset,variant_equal_weight,699,0.7606776818405308,0.11017168218728382,0.28391362777193396,0.4962623811629259,0.15613270418014963,0.6523950853430756,0.9055112753813759,3.004291845493562,1.0,False
KCNQ1,histogram_subset,historical_formula_raw_fraction,691,0.6524277287405229,0.05565517560044108,0.2886058315487004,2.0058746861868837,1.0686032947829291,3.074477980969813,0.7377324654166916,1.7366136034732274,0.503690712443296,False
KCNQ1,histogram_subset,historical_formula_endpoint_clipped,691,0.6522897705058949,0.055586159518240544,0.28844272447029234,2.009243710521764,1.0710494373586015,3.080293147880366,0.7375067431331518,1.7366136034732274,0.503690712443296,False
