gene,metric,bin_left,bin_right,variants,pct
BRCA2,count_fraction,0.4,0.45,16,0.26836632002683664
BRCA2,count_fraction,0.45,0.5,3,0.050318685005031866
BRCA2,count_fraction,0.5,0.55,728,12.210667561221067
BRCA2,count_fraction,0.55,0.6000000000000001,14,0.23482053002348205
BRCA2,count_fraction,0.6000000000000001,0.65,6,0.10063737001006373
BRCA2,count_fraction,0.65,0.7000000000000001,64,1.0734652801073465
BRCA2,count_fraction,0.7000000000000001,0.75,11,0.18450184501845018
BRCA2,count_fraction,0.75,0.8,25,0.41932237504193226
BRCA2,count_fraction,0.8,0.8500000000000001,24,0.4025494800402549
BRCA2,count_fraction,0.8500000000000001,0.9,13,0.21804763502180477
BRCA2,count_fraction,0.9,0.9500000000000001,11,0.18450184501845018
BRCA2,count_fraction,0.9500000000000001,1.0,4378,73.43173431734317
BRCA2,posterior_mean,0.0,0.05,204,3.421670580342167
BRCA2,posterior_mean,0.05,0.1,2703,45.33713518953371
BRCA2,posterior_mean,0.1,0.15000000000000002,282,4.729956390472996
BRCA2,posterior_mean,0.15000000000000002,0.2,127,2.130157665213016
BRCA2,posterior_mean,0.2,0.25,58,0.9728279100972828
BRCA2,posterior_mean,0.25,0.30000000000000004,64,1.0734652801073465
BRCA2,posterior_mean,0.30000000000000004,0.35000000000000003,1303,21.85508218718551
BRCA2,posterior_mean,0.35000000000000003,0.4,369,6.18919825561892
BRCA2,posterior_mean,0.4,0.45,115,1.9288829251928883
BRCA2,posterior_mean,0.45,0.5,73,1.2244213351224422
BRCA2,posterior_mean,0.5,0.55,70,1.1741026501174103
BRCA2,posterior_mean,0.55,0.6000000000000001,57,0.9560550150956055
BRCA2,posterior_mean,0.6000000000000001,0.65,43,0.7212344850721234
BRCA2,posterior_mean,0.65,0.7000000000000001,282,4.729956390472996
BRCA2,posterior_mean,0.7000000000000001,0.75,79,1.3250587051325058
BRCA2,posterior_mean,0.75,0.8,35,0.5870513250587052
BRCA2,posterior_mean,0.8,0.8500000000000001,45,0.7547802750754781
BRCA2,posterior_mean,0.8500000000000001,0.9,28,0.4696410600469641
BRCA2,posterior_mean,0.9,0.9500000000000001,25,0.41932237504193226
BRCA2,posterior_mean,0.9500000000000001,1.0,0,0.0
KCNQ1,prior_mean,0.0,0.05,27,3.907380607814761
KCNQ1,prior_mean,0.05,0.1,33,4.775687409551375
KCNQ1,prior_mean,0.1,0.15000000000000002,11,1.5918958031837915
KCNQ1,prior_mean,0.15000000000000002,0.2,8,1.1577424023154848
KCNQ1,prior_mean,0.2,0.25,131,18.958031837916064
KCNQ1,prior_mean,0.25,0.30000000000000004,5,0.723589001447178
KCNQ1,prior_mean,0.30000000000000004,0.35000000000000003,3,0.4341534008683068
KCNQ1,prior_mean,0.35000000000000003,0.4,4,0.5788712011577424
KCNQ1,prior_mean,0.4,0.45,5,0.723589001447178
KCNQ1,prior_mean,0.45,0.5,4,0.5788712011577424
KCNQ1,prior_mean,0.5,0.55,3,0.4341534008683068
KCNQ1,prior_mean,0.55,0.6000000000000001,2,0.2894356005788712
KCNQ1,prior_mean,0.6000000000000001,0.65,9,1.3024602026049203
KCNQ1,prior_mean,0.65,0.7000000000000001,11,1.5918958031837915
KCNQ1,prior_mean,0.7000000000000001,0.75,187,27.062228654124457
KCNQ1,prior_mean,0.75,0.8,94,13.603473227206946
KCNQ1,prior_mean,0.8,0.8500000000000001,154,22.286541244573083
KCNQ1,prior_mean,0.8500000000000001,0.9,0,0.0
KCNQ1,prior_mean,0.9,0.9500000000000001,0,0.0
KCNQ1,prior_mean,0.9500000000000001,1.0,0,0.0
KCNQ1,count_fraction,0.0,0.05,44,6.367583212735166
KCNQ1,count_fraction,0.05,0.1,6,0.8683068017366136
KCNQ1,count_fraction,0.1,0.15000000000000002,5,0.723589001447178
KCNQ1,count_fraction,0.15000000000000002,0.2,14,2.0260492040520983
KCNQ1,count_fraction,0.2,0.25,11,1.5918958031837915
KCNQ1,count_fraction,0.25,0.30000000000000004,12,1.7366136034732271
KCNQ1,count_fraction,0.30000000000000004,0.35000000000000003,20,2.894356005788712
KCNQ1,count_fraction,0.35000000000000003,0.4,5,0.723589001447178
KCNQ1,count_fraction,0.4,0.45,17,2.460202604920405
KCNQ1,count_fraction,0.45,0.5,5,0.723589001447178
KCNQ1,count_fraction,0.5,0.55,43,6.2228654124457305
KCNQ1,count_fraction,0.55,0.6000000000000001,11,1.5918958031837915
KCNQ1,count_fraction,0.6000000000000001,0.65,10,1.447178002894356
KCNQ1,count_fraction,0.65,0.7000000000000001,30,4.341534008683068
KCNQ1,count_fraction,0.7000000000000001,0.75,6,0.8683068017366136
KCNQ1,count_fraction,0.75,0.8,15,2.170767004341534
KCNQ1,count_fraction,0.8,0.8500000000000001,16,2.3154848046309695
KCNQ1,count_fraction,0.8500000000000001,0.9,12,1.7366136034732271
KCNQ1,count_fraction,0.9,0.9500000000000001,12,1.7366136034732271
KCNQ1,count_fraction,0.9500000000000001,1.0,397,57.45296671490593
KCNQ1,posterior_mean,0.0,0.05,11,1.5918958031837915
KCNQ1,posterior_mean,0.05,0.1,8,1.1577424023154848
KCNQ1,posterior_mean,0.1,0.15000000000000002,29,4.196816208393632
KCNQ1,posterior_mean,0.15000000000000002,0.2,21,3.0390738060781475
KCNQ1,posterior_mean,0.2,0.25,15,2.170767004341534
KCNQ1,posterior_mean,0.25,0.30000000000000004,79,11.432706222865413
KCNQ1,posterior_mean,0.30000000000000004,0.35000000000000003,28,4.052098408104197
KCNQ1,posterior_mean,0.35000000000000003,0.4,18,2.6049204052098407
KCNQ1,posterior_mean,0.4,0.45,16,2.3154848046309695
KCNQ1,posterior_mean,0.45,0.5,8,1.1577424023154848
KCNQ1,posterior_mean,0.5,0.55,8,1.1577424023154848
KCNQ1,posterior_mean,0.55,0.6000000000000001,21,3.0390738060781475
KCNQ1,posterior_mean,0.6000000000000001,0.65,28,4.052098408104197
KCNQ1,posterior_mean,0.65,0.7000000000000001,44,6.367583212735166
KCNQ1,posterior_mean,0.7000000000000001,0.75,43,6.2228654124457305
KCNQ1,posterior_mean,0.75,0.8,128,18.523878437047756
KCNQ1,posterior_mean,0.8,0.8500000000000001,119,17.221418234442837
KCNQ1,posterior_mean,0.8500000000000001,0.9,40,5.788712011577424
KCNQ1,posterior_mean,0.9,0.9500000000000001,21,3.0390738060781475
KCNQ1,posterior_mean,0.9500000000000001,1.0,6,0.8683068017366136
