gene,variant_type,n_bucket,n_units,unit_share,population_only_units,equal_variant_fraction_mean,historical_weight_sum,historical_weight_share,weighted_affected_fraction_sum
LDLR,missense,10-19,107,0.07776162790697674,60,0.13451344090069822,99.10043210718422,0.167788693425673,13.352535603319586
LDLR,missense,20-99,115,0.08357558139534883,55,0.1239650972673101,111.87181681583316,0.18941215063908992,13.814988841020856
LDLR,missense,100+,29,0.021075581395348836,11,0.05571274128883689,28.863944570504863,0.04887005478803524,1.6025612023506663
LDLR,nonsense,1,39,0.4105263157894737,21,0.46153846153846156,0.3861386138613865,0.00941967446423478,0.17821782178217838
LDLR,nonsense,2,18,0.18947368421052632,8,0.4166666666666667,9.044776119402984,0.22064316695673686,3.7686567164179094
LDLR,nonsense,3-4,11,0.11578947368421053,2,0.4848484848484848,7.594063015219427,0.18525368584331967,3.644311149037705
LDLR,nonsense,5-9,17,0.17894736842105263,1,0.6814659197012138,14.374013318216196,0.35064746529280344,9.815917284686513
LDLR,nonsense,10-19,2,0.021052631578947368,1,0.05,1.8232359492928287,0.04447700514094048,0.09000999000999002
LDLR,nonsense,20-99,8,0.08421052631578947,0,0.73618044904448,7.770549892328392,0.18955900230196485,5.7275093182816015
BRCA2,missense,1,3791,0.5695612980769231,1454,0.6056449485623846,37.534653465346565,0.01811916305308994,22.732673267326753
BRCA2,missense,2,1028,0.1544471153846154,433,0.3035019455252918,516.5572139303481,0.2493584866607325,156.77611940298507
BRCA2,missense,3-4,706,0.10606971153846154,400,0.14978753541076487,491.3323501876538,0.23718164800767755,72.83332988127688
BRCA2,missense,5-9,472,0.07091346153846154,295,0.07562802663438256,394.8389218869284,0.19060122166787777,29.57840269021393
BRCA2,missense,10-19,247,0.037109375,163,0.06585773627942189,227.98894914215094,0.11005746856363365,14.965031122618779
BRCA2,missense,20-99,285,0.042818509615384616,171,0.032016827091375585,276.75354790244864,0.13359768099618188,8.840155014349124
BRCA2,missense,100+,127,0.019080528846153848,55,0.016635965352279895,126.53891305225255,0.061084331050806594,2.1020091789608863
BRCA2,nonsense,1,293,0.5077989601386482,38,0.8668941979522184,2.9009900990099036,0.014949643284140585,2.514851485148517
BRCA2,nonsense,2,120,0.20797227036395147,9,0.7625,60.298507462686565,0.31073569587187194,45.9776119402985
BRCA2,nonsense,3-4,77,0.13344887348353554,3,0.7110389610389611,53.6555372366426,0.2765025437971999,37.94835792578355
BRCA2,nonsense,5-9,49,0.08492201039861352,5,0.6070861678004537,41.28409412831362,0.2127489096697756,24.998493247476375
BRCA2,nonsense,10-19,19,0.03292894280762565,0,0.502043147228091,17.471012061519968,0.09003319184777041,8.768315541205936
BRCA2,nonsense,20-99,17,0.029462738301559793,2,0.45298505872489464,16.44271923728697,0.08473410071361887,7.4599092148951645
BRCA2,nonsense,100+,2,0.0034662045060658577,0,0.006427846463142541,1.9979304102898676,0.01029591481562247,0.012850881821207817
KCNQ1,missense,1,455,0.4288407163053723,371,0.16703296703296702,4.504950495049509,0.009512210580892478,0.7524752475247531
KCNQ1,missense,2,142,0.13383600377002827,91,0.29225352112676056,71.35323383084575,0.15066247377690817,20.853233830845767
KCNQ1,missense,3-4,140,0.13195098963242224,84,0.26547619047619053,98.29363468405398,0.20754717569116432,26.26880058988741
KCNQ1,missense,5-9,106,0.0999057492931197,49,0.36493710691823894,89.62914068383371,0.18925208197203372,32.771546377942876
KCNQ1,missense,10-19,54,0.05089538171536286,24,0.3158825034964526,49.784135807518425,0.10511928686214353,15.701903967850178
KCNQ1,missense,20-99,133,0.12535344015080113,43,0.27069639242938714,129.1742005794323,0.27275154274841806,35.0803701374555
KCNQ1,missense,100+,31,0.029217719132893498,4,0.2648602163404224,30.857293979915905,0.06515522836843961,8.169146638290908
KCNQ1,nonsense,1,25,0.45454545454545453,11,0.52,0.24752475247524774,0.01084940713852775,0.12871287128712883
KCNQ1,nonsense,2,8,0.14545454545454545,2,0.5,4.019900497512437,0.17619869010168593,2.0099502487562186
KCNQ1,nonsense,3-4,6,0.10909090909090909,0,0.7222222222222222,4.172343228307968,0.18288049963859307,3.0593864176767385
KCNQ1,nonsense,5-9,8,0.14545454545454545,1,0.5854166666666667,6.688387927551126,0.29316277665472046,3.974433210794118
KCNQ1,nonsense,10-19,3,0.05454545454545454,0,0.41520467836257313,2.7642320607007673,0.12116072736973317,1.1513317754453687
KCNQ1,nonsense,20-99,2,0.03636363636363636,0,0.5104895104895105,1.9312593984021014,0.08465019879362509,0.9869139041928247
KCNQ1,nonsense,100+,3,0.05454545454545454,0,0.26002130524674666,2.990940002829142,0.1310977003031148,0.7779333115368711
