gene,variant_type,method,mean,variance,mean_historical_weight,n_units,fit_status,strength,alpha_empirical,beta_empirical,A0_U1_posterior_mean,A1_U0_posterior_mean,A0_U1_absolute_drop_from_prior,A0_U1_relative_drop_from_prior,A0_U10_posterior_mean,prior_weight_after_one_observation,A0_U1_lower_95,A0_U1_upper_95
GCK,nonsense,normalized_weighted_mse,0.7059030877040944,0.09587206905937842,0.3519922930023696,33,valid,1.1654264950237008,0.8226781613293908,0.34274833369431,0.3799150713358139,0.8417178627480687,0.32598801636828045,0.4618027914122548,0.07368085417033096,0.5381972085877452,0.008269512015762143,0.9242200349782003
GCK,nonsense,equal_variant_mean_mse,0.6865800865800866,0.15961582429114898,0.3519922930023696,33,valid,0.34816126312922213,0.23904059018309365,0.10912067294612848,0.17730860299921067,0.9190596288956945,0.5092714835808759,0.7417510258964838,0.02309981301072314,0.25824897410351616,1.720049271900463e-07,0.8678249694737628
LDLR,missense,historical_weighted_mean_mse,0.15377610786006457,0.03580757280422471,0.4292343029686734,1376,valid,2.634120000898839,0.4050647213745733,2.2290552795242657,0.1114615701392324,0.386631349825282,0.04231453772083217,0.2751697796860496,0.03206117413367575,0.7248302203139504,2.8025457806163215e-05,0.5306253621253332
LDLR,missense,normalized_weighted_mse,0.15377610786006457,0.08342197386502456,0.4292343029686734,1376,valid,0.5598889654903281,0.08609754594690067,0.4737914195434274,0.05519466311490778,0.6962659330085728,0.09858144474515679,0.641071269893665,0.008153262428067859,0.358928730106335,1.408730365639524e-19,0.5567130078344109
LDLR,missense,equal_variant_mean_mse,0.15617120493203182,0.10613174202564439,0.4292343029686734,1376,valid,0.24168092567694766,0.03774360137205774,0.2039373243048899,0.03039718223220707,0.835757061184051,0.12577402269982474,0.8053598789518439,0.0036852936198618186,0.19464012104815615,2.6906859909496665e-43,0.42086349673738294
LDLR,nonsense,historical_weighted_mean_mse,0.5665540134584413,0.05275197969101589,0.4315029148244338,95,valid,3.6551914208898664,2.0708633694640164,1.58432805142585,0.44485031489170407,0.6596642526199284,0.12170369856673718,0.21481393772822435,0.1516539245503352,0.7851860622717757,0.08255512132898077,0.8505544586864796
LDLR,nonsense,normalized_weighted_mse,0.5665540134584413,0.1222517342958834,0.4315029148244338,95,valid,1.0087286671796751,0.5714992748812292,0.437229392298446,0.28450794983855837,0.7823352653634742,0.2820460636198829,0.49782731552491594,0.05191328555358441,0.502172684475084,0.0010325721494340151,0.8793384427257952
LDLR,nonsense,equal_variant_mean_mse,0.5095547111643138,0.1804964621402288,0.4315029148244338,95,valid,0.38456291348475813,0.19595584430523294,0.1886070691795252,0.14152902868966677,0.863778621149958,0.36802568247464706,0.7222495924602912,0.01886991738966468,0.2777504075397088,5.233292562100181e-09,0.8172559112798767
BRCA2,missense,historical_weighted_mean_mse,0.1485981658574783,0.017802274751243064,0.3112296498748692,6656,valid,6.106774427938625,0.9074554792970309,5.199318948641594,0.12768879728749818,0.2683996092233229,0.020909368569980113,0.14071081193582471,0.056339988081224326,0.8592891880641753,0.002698983691512521,0.4328167845561385
BRCA2,missense,normalized_weighted_mse,0.1485981658574783,0.057199803291236945,0.3112296498748692,6656,valid,1.2118389169470118,0.18007704037303893,1.031761876573973,0.08141507909698877,0.5335275689976069,0.06718308676048952,0.4521124899006181,0.01606132960944055,0.5478875100993819,4.963565053113655e-10,0.572293965373309
BRCA2,missense,equal_variant_mean_mse,0.4172101641756652,0.20828374042140976,0.3112296498748692,6656,valid,0.1673779364257395,0.06983177633556684,0.09754616009017268,0.05981933884186362,0.9164399488405289,0.35739082533380157,0.8566206099986652,0.006868218804514672,0.1433793900013348,9.911545467923316e-24,0.6482893057323855
BRCA2,nonsense,historical_weighted_mean_mse,0.6579740789425415,0.035064679675581016,0.3363098624536387,577,valid,5.417973655095902,3.564886225446681,1.853087429649221,0.5554535460917862,0.7112659650483513,0.1025205328507553,0.15581241895656509,0.23121626130606504,0.8441875810434349,0.1970580960538797,0.8815897864092316
BRCA2,nonsense,normalized_weighted_mse,0.6579740789425415,0.10426301334060575,0.3363098624536387,577,valid,1.1584278371763794,0.7622154891875287,0.3962123479888508,0.3531345714039005,0.8164347488646322,0.304839507538641,0.46330017746073177,0.06830850190634077,0.5366998225392683,0.005517105280812589,0.9106364686349572
BRCA2,nonsense,equal_variant_mean_mse,0.7751293651833717,0.11743369356251022,0.3363098624536387,577,valid,0.48427446268657603,0.3753753568367641,0.10889910584981191,0.25290158004694413,0.9266314225654051,0.5222277851364275,0.6737298425184609,0.035803656053904453,0.32627015748153915,4.721819651746065e-05,0.911276706098798
KCNQ1,missense,historical_weighted_mean_mse,0.2947603080755296,0.06567426611973569,0.4463681338931665,1061,valid,2.1652682418978677,0.6382351340479758,1.5270331078498918,0.20163698153597734,0.5175659719334573,0.09312332653955226,0.31592899039748007,0.052463712378314695,0.68407100960252,0.0011095301941767357,0.7015502062701482
KCNQ1,missense,normalized_weighted_mse,0.2947603080755296,0.147130274616454,0.4463681338931665,1061,valid,0.4128748784072549,0.12169912635596929,0.2911757520512856,0.08613581302624736,0.7939125703901464,0.20862449504928224,0.707776757363899,0.011687370469449478,0.29222324263610094,4.732851697714066e-14,0.6976294399947244
KCNQ1,missense,equal_variant_mean_mse,0.2399820377836664,0.15033645713825192,0.4463681338931665,1061,valid,0.21321642665249074,0.051168112557016365,0.16204831409547438,0.04217558502583049,0.8664308275625656,0.1978064527578359,0.8242552425367352,0.005009990038347533,0.17574475746326476,3.889360313648504e-32,0.5318282005237058
KCNQ1,nonsense,historical_weighted_mean_mse,0.529865444414281,0.04292244416465143,0.4148106885050688,55,valid,4.803678240557634,2.545303105756282,2.258375134801352,0.4385672327540546,0.6108717538785609,0.09129821166022636,0.17230452112450623,0.17193720806379834,0.8276954788754938,0.10338877344666489,0.8130794762601765
KCNQ1,nonsense,normalized_weighted_mse,0.529865444414281,0.10347477862573673,0.4148106885050688,55,valid,1.4074277668275985,0.7457473391511045,0.661680427676494,0.30976935193109334,0.7251504544419095,0.22009609248318762,0.41538110251081617,0.0653738383792104,0.5846188974891838,0.004106062617944617,0.8644530930156509
KCNQ1,nonsense,equal_variant_mean_mse,0.5284240661540663,0.17149631321481246,0.4148106885050688,55,valid,0.4530462363417507,0.23940053436350403,0.21364570197824664,0.1647576851829772,0.8529670311688566,0.36366638097108916,0.6882093459858796,0.022902465841123744,0.3117906540141204,1.558693880278895e-07,0.8370588467796877
