model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
sequence_fit,all,127,0.07666628626042446,0.0069060394556843836,0.40169579257891364,0.25461114328320217,1.1742591501574953,-0.03414629587077608,0.17852911586590067,0.40880918385213394,BRCA2,all_supported
sequence_unfitted,all,127,0.07712004642485189,0.007328794665790098,0.4024136991061029,0.2552400158590376,1.1930847370422348,-0.07701216871780024,0.17780769678944766,0.40880918385213394,BRCA2,all_supported
am_fit,all,44,0.0016035898304406202,2.5744637845413006e-05,0.7209769334138107,0.5253775311262121,1.312837856662653,-0.19817358600695506,0.26765943022255284,0.9886363636363636,BRCA2,am_common
am_plus_density,all,44,0.0016289659091516288,2.5802279231586083e-05,0.7210016251280797,0.5254137177032145,1.3129302545552157,-0.19815263631758875,0.2676347385082839,0.9886363636363636,BRCA2,am_common
am_plus_sequence,all,44,0.0016994442514043375,2.624452717588903e-05,0.7210265123799733,0.5254505749975801,1.313026070622074,-0.17413413494575983,0.2676098512563904,0.9886363636363636,BRCA2,am_common
density_fit,all,44,0.001529483072180772,2.5552754670862953e-05,0.7210137814778497,0.5254312553591377,1.3129738086011138,-0.2583081340464207,0.2676225821585141,0.9886363636363636,BRCA2,am_common
density_unfitted,all,44,0.08998646788183526,0.008878013172846646,0.8109756783022479,0.6638882113608128,1.732420247083705,0.05406449317250667,0.17766068533411566,0.9886363636363636,BRCA2,am_common
empirical_prior,all,44,0.11904898735847262,0.014197007562928082,0.8400381977788853,0.7112168596780107,1.8978588906766705,,0.14859816585747831,0.9886363636363636,BRCA2,am_common
intercept_only,all,44,0.0015049120147439558,2.5491719146660537e-05,0.7209892104204129,0.5253952419331683,1.3128818366274075,,0.26764715321595095,0.9886363636363636,BRCA2,am_common
sequence_fit,all,44,0.001597525482195927,2.602833569551713e-05,0.7210310162669231,0.5254569488970048,1.313041346386115,-0.22226513859808295,0.26760534736944047,0.9886363636363636,BRCA2,am_common
sequence_unfitted,all,44,0.09146046199911023,0.008652709417232283,0.8124496724195228,0.6661755848786574,1.732605385580159,-0.1501526736857062,0.1761866912168407,0.9886363636363636,BRCA2,am_common
density_fit,all,975,0.1358634344260887,0.03457952664335521,0.28684694507500846,0.1143430263658905,1.1410389104903855,0.5537495915854368,0.28268832846994385,0.24861371858680986,KCNQ1,all_supported
density_unfitted,all,975,0.1383982318847889,0.03449230908180303,0.28605614540905555,0.11357670727820264,1.1353377841485408,0.5540299704379422,0.2864448388439405,0.24861371858680986,KCNQ1,all_supported
empirical_prior,all,975,0.19071699868888017,0.05216565087017497,0.35900927229481666,0.1577266106142685,1.3631987676153012,,0.2947603080755296,0.24861371858680986,KCNQ1,all_supported
intercept_only,all,975,0.1858281397688537,0.05212646374468843,0.35412010722859383,0.15692683921609352,1.358081760050543,,0.28267484693100003,0.24861371858680986,KCNQ1,all_supported
sequence_fit,all,975,0.13760579847181176,0.03569458328817038,0.29126716458609636,0.1168059022515417,1.1535136965260218,0.5489296601434276,0.2826851264833725,0.24861371858680986,KCNQ1,all_supported
sequence_unfitted,all,975,0.13945455601816262,0.03546757937974688,0.288393461595481,0.11559541708473482,1.144269305576681,0.5493183042722324,0.28203560506037456,0.24861371858680986,KCNQ1,all_supported
