model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
sequence_unfitted,kish_lt_5,6,0.037471498229711575,0.0014424551255811057,0.04695417609822914,0.002216960291666246,0.11225789602946612,,0.04695417609822914,0.0,all_common
sequence_unfitted,origin:literature_and_population,79,0.2142789568950714,0.0739764921996081,0.34266998000364807,0.15922964754911473,2.689646350941743,0.3415770404882768,0.19565244173801563,0.5075954154937892,all_common
sequence_unfitted,origin:literature_only,163,0.22791780653510507,0.07893767450949289,0.7615201237237084,0.5981834941637534,2.251803363671777,0.02348519709242165,0.21348452398032586,0.9750046477040343,all_common
sequence_unfitted,origin:population_only,368,0.13570381311411522,0.026063202523629245,0.14719694296855296,0.02939494631591074,0.24374545444277676,,0.14719694296855296,0.0,all_common
am_fit,all,242,0.13899508138222735,0.027665233708476084,0.4485894703386985,0.23773549876102795,1.547250130996107,0.28884650462908673,0.4134550579277936,0.8224206421477972,original_242
am_fit,kish_ge_5,242,0.13899508138222735,0.027665233708476084,0.4485894703386985,0.23773549876102795,1.547250130996107,0.28884650462908673,0.4134550579277936,0.8224206421477972,original_242
am_fit,origin:literature_and_population,79,0.17966448987319839,0.043122159368511145,0.22693012023959927,0.07019049919360305,2.124053106165671,0.42907593747330997,0.39909423996071675,0.5075954154937892,original_242
am_fit,origin:literature_only,163,0.11928414107065241,0.02017384029042228,0.5560194621045197,0.3189382899624179,1.2676953148096308,0.11365970624699334,0.4204152089670518,0.9750046477040343,original_242
am_plus_density,all,242,0.13942730916712506,0.027904341296538158,0.44868131524854743,0.23791317065867867,1.548626313797615,0.27884621379649,0.41338012831575377,0.8224206421477972,original_242
am_plus_density,kish_ge_5,242,0.13942730916712506,0.027904341296538158,0.44868131524854743,0.23791317065867867,1.548626313797615,0.27884621379649,0.41338012831575377,0.8224206421477972,original_242
am_plus_density,origin:literature_and_population,79,0.17953072123703032,0.04334577377041963,0.22699260673135804,0.07040084233708163,2.125577230607903,0.41857116106108166,0.399094038559283,0.5075954154937892,original_242
am_plus_density,origin:literature_only,163,0.11999068613937955,0.020420456846006647,0.5561255359409276,0.31910012732988213,1.268999795834347,0.11519208718926618,0.42030406138790816,0.9750046477040343,original_242
am_plus_sequence,all,242,0.13955293914556705,0.027871091092473224,0.4489196718799217,0.23809460167013596,1.5486794157761081,0.277731665097033,0.41340652471697664,0.8224206421477972,original_242
am_plus_sequence,kish_ge_5,242,0.13955293914556705,0.027871091092473224,0.4489196718799217,0.23809460167013596,1.5486794157761081,0.277731665097033,0.41340652471697664,0.8224206421477972,original_242
am_plus_sequence,origin:literature_and_population,79,0.18132453377766558,0.04373719046736979,0.22755473099301798,0.07073716530474779,2.12715654993641,0.39583126539302177,0.39938510196809357,0.5075954154937892,original_242
am_plus_sequence,origin:literature_only,163,0.11930781045884441,0.020181386487462004,0.5562069745183599,0.3192064880067351,1.2683131973793973,0.14047737799896956,0.42020218359526956,0.9750046477040343,original_242
density_fit,all,242,0.14237499143259746,0.029446073803561977,0.4575254211227244,0.24412493370255264,1.5704061560970908,0.08943714361752234,0.41350116038095736,0.8224206421477972,original_242
density_fit,kish_ge_5,242,0.14237499143259746,0.029446073803561977,0.4575254211227244,0.24412493370255264,1.5704061560970908,0.08943714361752234,0.41350116038095736,0.8224206421477972,original_242
density_fit,origin:literature_and_population,79,0.19108126316338903,0.04904399124220413,0.24089030767197878,0.07613321362693919,2.1558359929995494,0.2459663944279131,0.4118040322666474,0.5075954154937892,original_242
density_fit,origin:literature_only,163,0.11876888427472913,0.0199476966400483,0.5625203534086685,0.32554423361650026,1.286670222874427,0.01853080567831636,0.414323694865807,0.9750046477040343,original_242
density_unfitted,all,242,0.21261704979819535,0.07082918683416754,0.6179465263071027,0.44501750443329585,2.2905435118614506,0.10573343037062959,0.21447885962801302,0.8224206421477972,original_242
density_unfitted,kish_ge_5,242,0.21261704979819535,0.07082918683416754,0.6179465263071027,0.44501750443329585,2.2905435118614506,0.10573343037062959,0.21447885962801302,0.8224206421477972,original_242
density_unfitted,origin:literature_and_population,79,0.20129301779256908,0.06991822682971469,0.3322245403129608,0.15215994268699173,2.598370752047426,0.29623224043782836,0.2060183181748926,0.5075954154937892,original_242
density_unfitted,origin:literature_only,163,0.21810538432852955,0.07127069505718457,0.7564252802551837,0.5869546049115659,2.1413511684584314,0.010562176895395242,0.2185793674488505,0.9750046477040343,original_242
empirical_prior,all,242,0.3938725791945624,0.1840384554176072,0.8029849195571316,0.7219331430198949,4.7344257395775475,,0.019890082847366895,0.8224206421477972,original_242
empirical_prior,kish_ge_5,242,0.3938725791945624,0.1840384554176072,0.8029849195571316,0.7219331430198949,4.7344257395775475,,0.019890082847366895,0.8224206421477972,original_242
empirical_prior,origin:literature_and_population,79,0.3494712780447992,0.16972058099538614,0.489097170394798,0.3068471700543919,4.8177046340528715,,0.019890082847366902,0.5075954154937892,original_242
empirical_prior,origin:literature_only,163,0.4153922282180674,0.19097779332776338,0.9551145648566675,0.9231097802240343,4.6940635759974825,,0.0198900828473669,0.9750046477040343,original_242
intercept_only,all,242,0.14186682601437242,0.029494767602613336,0.4598726031983566,0.2454587472484395,1.5743791673492844,-0.31271935974954185,0.41331980032159926,0.8224206421477972,original_242
intercept_only,kish_ge_5,242,0.14186682601437242,0.029494767602613336,0.4598726031983566,0.2454587472484395,1.5743791673492844,-0.31271935974954185,0.41331980032159926,0.8224206421477972,original_242
intercept_only,origin:literature_and_population,79,0.19492574166708235,0.051010922888108934,0.2455219497377744,0.07829709534750022,2.167863313145909,-0.9625788325524376,0.413507829590534,0.5075954154937892,original_242
intercept_only,origin:literature_only,163,0.11615115523790559,0.019066692341544917,0.5637603432191296,0.3264757441820236,1.28673961202454,0.0527916725260575,0.41322866957162485,0.9750046477040343,original_242
sequence_fit,all,242,0.14267637073787093,0.02962938753521872,0.4588859890646644,0.24474153515849303,1.5734288861986427,0.10033989793297668,0.41340532375150263,0.8224206421477972,original_242
sequence_fit,kish_ge_5,242,0.14267637073787093,0.02962938753521872,0.4588859890646644,0.24474153515849303,1.5734288861986427,0.10033989793297668,0.41340532375150263,0.8224206421477972,original_242
sequence_fit,origin:literature_and_population,79,0.19314224164525373,0.050031220922282967,0.24383561786025434,0.07732982833843864,2.1636153811893015,0.22165569107204341,0.4124696081173903,0.5075954154937892,original_242
sequence_fit,origin:literature_only,163,0.11821745170913937,0.019741382396702922,0.5631128560901145,0.3258797243534888,1.2873875788105322,0.019082001087424878,0.4138588301017778,0.9750046477040343,original_242
sequence_unfitted,all,242,0.22346545479311067,0.07731811499510902,0.6247880520134408,0.4548886434093879,2.394735578524369,0.13591696455155403,0.20766330704998492,0.8224206421477972,original_242
sequence_unfitted,kish_ge_5,242,0.22346545479311067,0.07731811499510902,0.6247880520134408,0.4548886434093879,2.394735578524369,0.13591696455155403,0.20766330704998492,0.8224206421477972,original_242
sequence_unfitted,origin:literature_and_population,79,0.2142789568950714,0.0739764921996081,0.34266998000364807,0.15922964754911473,2.689646350941743,0.3415770404882768,0.19565244173801563,0.5075954154937892,original_242
sequence_unfitted,origin:literature_only,163,0.22791780653510507,0.07893767450949289,0.7615201237237084,0.5981834941637534,2.251803363671777,0.02348519709242165,0.21348452398032586,0.9750046477040343,original_242
