gene,scope,variants,population_only,affected,unaffected_literature,unaffected_gnomad,mean,variance,historical_mse,normalized_weighted_mse,weighted_mae,alpha_empirical,beta_empirical,strength,pooled_carrier_fraction,equal_variant_fraction_mean
GCK,literature_only_refreshed,372,0,898,80,23841,0.6730436933323759,0.05154504048366148,0.05154504048366148,0.11941311706759143,0.29541968980457917,2.2003117441289937,1.068884247047751,3.269195991176745,0.03618195737136871,0.8243131481640874
GCK,all_allele_count_proxy,14553,14181,898,80,12048550,0.019863774093909495,0.0061682322652455756,0.0061682322652455756,0.01649912881976674,0.0386286927218285,0.04283358631489867,2.113533381633656,2.156366967948555,7.452574075930609e-05,0.021070751926817385
GCK,all_normalized_mse,14553,14181,898,80,8931920,0.01989008284736696,0.016520228310190788,0.0061680512365331844,0.016520228310190788,0.038678409494022514,0.003580934949660775,0.17645526586158006,0.18003620081124083,0.00010052728688942826,0.021070878246206313
GCK,all_protein_aggregate_grain,14499,14127,898,80,8931920,0.019923674248461525,0.006190773107777246,0.006190773107777246,0.016547459262442034,0.03874189968186052,0.04291888686548675,2.111246370519249,2.1541652573847356,0.00010052728688942826,0.02114935451527971
LDLR,all_observed_full_locus,14729,14069,2488,155,16363132,0.028654261870605532,0.008814096428804695,0.008814096428804695,0.02139766893080052,0.05428004842107425,0.06183030099834253,2.0959744010578656,2.157804702056208,0.00015202457567698444,0.030707243379563997
LDLR,all_observed_footprint,4562,3902,2488,155,7711737,0.08956550173053252,0.02613621844559771,0.02613621844559771,0.061427801727071255,0.1512833752716149,0.189873795597776,1.9300696193236502,2.1199434149214262,0.0003225145766736925,0.0991422594777725
LDLR,coding_or_splice,2560,1904,2471,151,3118329,0.15983538404254008,0.04177800696769625,0.04177800696769625,0.09851847194267452,0.23529693303214652,0.35392726412251085,1.8603963428975303,2.214323607020041,0.0007917458492619718,0.17653484796243274
LDLR,literature_only_refreshed,660,0,2488,155,4062515,0.4964957647042909,0.07346779487966772,0.07346779487966772,0.13847860086988836,0.32816117428473485,1.192922633897382,1.2097617769311326,2.4026844108285146,0.0006120303319083784,0.6852833147539366
LDLR,all_allele_count_proxy,14729,14069,2488,155,21385668,0.028596507225766,0.008806582676071803,0.008806582676071803,0.02135324320769381,0.0541741180654773,0.06160592072325374,2.0927103472350104,2.154316267958264,0.00011632522081804402,0.03069594792115071
LDLR,all_normalized_mse,14729,14069,2488,155,16363132,0.028654261870605532,0.02139766893080052,0.008814096428804695,0.02139766893080052,0.05428004842107425,0.008618006665951911,0.2921402786065276,0.3007582852724795,0.00015202457567698444,0.030707243379563997
LDLR,all_protein_aggregate_grain,14633,13973,2488,155,16363132,0.028661029828687404,0.008867785680644379,0.008867785680644379,0.02140660636438296,0.054289492319678403,0.061317565042527854,2.078087941634481,2.1394055066770092,0.00015202457567698444,0.03089834433035488
BRCA2,all_observed_full_locus,29132,23162,9969,2233,15877471,0.0722363038499502,0.016443529784172687,0.016443529784172687,0.047413248239016124,0.12512600221145223,0.22217423849956947,2.853484767546359,3.075659006045928,0.0006273886190105988,0.1637543658695958
BRCA2,all_observed_footprint,13318,7348,9969,2233,6789401,0.16896256994005354,0.030668213616976997,0.030668213616976997,0.09455768683967883,0.23768263723200844,0.6046314758892494,2.973862128367406,3.5784936042566553,0.0014656838983398471,0.3581988426575361
BRCA2,coding_or_splice,11092,5130,9961,2233,4957210,0.2103389613106487,0.03409512395092595,0.03409512395092595,0.10906584251371763,0.2688263869140977,0.8143401597120186,3.057221031984289,3.8715611916963075,0.0020044657266746675,0.43001414158337015
BRCA2,literature_only_refreshed,5970,0,9969,2233,4038098,0.46453684216818847,0.03228150302361255,0.03228150302361255,0.12266681369267593,0.2934236292507211,3.114912119805642,3.590502471784208,6.70541459158985,0.0024612991630249613,0.7990774181763926
BRCA2,all_allele_count_proxy,29132,23162,9969,2233,22260300,0.07214244065805274,0.016445341591347577,0.016445341591347577,0.04736058589920722,0.12498951653236008,0.22150084396302516,2.8488256094060103,3.0703264533690353,0.0004475922821782663,0.1637515464236709
BRCA2,all_normalized_mse,29132,23162,9969,2233,15877471,0.0722363038499502,0.047413248239016124,0.016443529784172687,0.047413248239016124,0.12512600221145223,0.029869092884184625,0.38362234137065954,0.41349143425484414,0.0006273886190105988,0.1637543658695958
BRCA2,all_protein_aggregate_grain,28975,23005,9969,2233,15877471,0.07221969583249699,0.016529307305047095,0.016529307305047095,0.047405736140517976,0.12509301631307623,0.22053360780764017,2.833115473173476,3.053649080981116,0.0006273886190105988,0.16462632414386955
KCNQ1,all_observed_full_locus,114136,113506,8216,2205,66821104,0.0044266030400496835,0.0013652440636542286,0.0013652440636542286,0.0034836358042270718,0.008785989853092301,0.00986247283158674,2.2181378114396777,2.2280002842712645,0.00012293599465222437,0.0038202625060894447
KCNQ1,all_observed_footprint,4327,3697,8216,2205,3769316,0.10432579040183328,0.031440536833525774,0.031440536833525774,0.07167995999463819,0.17482374951856794,0.20573259688199996,1.7662878986213313,1.9720204955033314,0.0021736962121967746,0.10076946646522411
KCNQ1,coding_or_splice,2131,1502,8215,2205,679039,0.20942726561283004,0.054074744025469045,0.054074744025469045,0.12188351898632373,0.28913870532490965,0.4318026930066995,1.6300238401486196,2.061826533155319,0.011915139261362895,0.20461162444410297
KCNQ1,literature_only_refreshed,630,0,8216,2205,608760,0.5552061504891433,0.0742345127857326,0.0742345127857326,0.131138406768264,0.32010309704065437,1.2917706816414027,1.034879843579431,2.326650525220834,0.013269141010463822,0.6921102879286107
KCNQ1,all_allele_count_proxy,114136,113506,8216,2205,91316353,0.004420418665079277,0.0013652314555198347,0.0013652314555198347,0.0034789467442153904,0.008773804435165823,0.009828978876983852,2.2137112831872154,2.223540262064199,8.996266527491708e-05,0.0038201429650315194
KCNQ1,all_normalized_mse,114136,113506,8216,2205,66821104,0.0044266030400496835,0.0034836358042270718,0.0013652440636542286,0.0034836358042270718,0.008785989853092301,0.001173315293889026,0.2638866603292825,0.2650599756231715,0.00012293599465222437,0.0038202625060894447
KCNQ1,all_protein_aggregate_grain,114034,113404,8216,2205,66821104,0.00442805663043447,0.0013664627095111037,0.0013664627095111037,0.003484773348845212,0.008788853050682811,0.009857632576140545,2.2163181819760185,2.226175814552159,0.00012293599465222437,0.003823679597080741
