model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
density_unfitted,all,2256,0.08956754419660622,0.009282788825696855,0.7992438571750143,0.6510739315986515,1.7346070789950738,0.03468028816602709,0.18084260250599535,0.9734008394976995,am_common
empirical_prior,all,2256,0.12062978017458659,0.015324013326271124,0.830340673630482,0.7027365967535004,1.9190912324032312,,0.1485981658574783,0.9734008394976995,am_common
intercept_only,all,2256,0.0063563782066638225,0.0009798195932857975,0.7153509709392915,0.5195095359776162,1.3335961710193798,,0.26836903949535146,0.9734008394976995,am_common
sequence_fit,all,2256,0.006794911579727849,0.00098007012657994,0.715350240196092,0.5195068097243216,1.3335971939552997,0.024190267883784294,0.2683682801835883,0.9734008394976995,am_common
sequence_unfitted,all,2256,0.08920465257595556,0.009113367742401329,0.7988896423170666,0.6504112594376713,1.7308150390434824,0.041665307995892666,0.1811483056099817,0.9734008394976995,am_common
am_fit,polymer,1554,0.007080617238317249,0.0011583036677344399,0.7130454266364271,0.51741274019816,1.3339898145772053,-0.12207885220372562,0.2682190338524151,0.9695513321089358,am_common
am_plus_density,polymer,1554,0.007231566740463177,0.001158865129748524,0.7130453768033451,0.5174102656846454,1.333994397915365,0.009059679835444713,0.2682189631333276,0.9695513321089358,am_common
am_plus_sequence,polymer,1554,0.007329006898845608,0.0011588503096478433,0.7130495051721697,0.5174159785048109,1.3340151135438696,0.020968644997283493,0.2682123313145359,0.9695513321089358,am_common
density_fit,polymer,1554,0.0072006138691491734,0.0011574472193313248,0.7129033910599959,0.5172059742366222,1.3334600427166865,0.024977704544972713,0.26835747680304634,0.9695513321089358,am_common
density_unfitted,polymer,1554,0.08994999837386913,0.009476715399653729,0.7967826183179194,0.6488279513788034,1.735790492538978,0.04799771968089533,0.1802888366237815,0.9695513321089358,am_common
empirical_prior,polymer,1554,0.12040531013267619,0.015417938130012692,0.8272642852647093,0.6994967942750477,1.916863559778918,,0.14859816585747826,0.9695513321089358,am_common
intercept_only,polymer,1554,0.006859965868930045,0.001156796908607545,0.7128920086969168,0.5171919496380181,1.3334116251841794,,0.2683691929530259,0.9695513321089358,am_common
sequence_fit,polymer,1554,0.00730293148325413,0.0011574256187999537,0.7129067113724731,0.5172105439664465,1.3334777501178485,0.04078888180878524,0.26835162508753135,0.9695513321089358,am_common
sequence_unfitted,polymer,1554,0.0896808167824239,0.009366384543210484,0.7965135627763307,0.6483333502647722,1.7330823585395427,0.05895662819499556,0.18051199639606272,0.9695513321089358,am_common
am_fit,structured,702,0.005673791985270879,0.0005870075285410578,0.7204718193278086,0.5241634276836544,1.3327558674906919,0.018725330180235197,0.2687017771115003,0.9819223985890653,am_common
am_plus_density,structured,702,0.005834984038770668,0.0005870168933474391,0.720477363587818,0.5241714119692538,1.3327702257661485,0.009456344321909773,0.26869810735714833,0.9819223985890653,am_common
am_plus_sequence,structured,702,0.005872440483056597,0.0005866421532376809,0.720459924247119,0.52414738094385,1.332702926960922,-0.0023477829639364203,0.26871466222936985,0.9819223985890653,am_common
density_fit,structured,702,0.005600802143366999,0.0005878320720709631,0.72077522715255,0.5246115263351916,1.3339221440764848,-0.02300052314521602,0.26839041810051184,0.9819223985890653,am_common
density_unfitted,structured,702,0.08872091486403272,0.008853498375655574,0.8046922406278996,0.6560458023417337,1.731987385765407,-0.0028541901496091093,0.18206846031363114,0.9819223985890653,am_common
empirical_prior,structured,702,0.12112668394257617,0.0151160943162791,0.8371507983034319,0.7099084671972546,1.9240225760758565,,0.1485981658574783,0.9819223985890653,am_common
intercept_only,structured,702,0.005241598680792443,0.0005880492969752631,0.7207943147065992,0.524639919413137,1.3340046955605493,,0.26836869978990135,0.9819223985890653,am_common
sequence_fit,structured,702,0.005670320511238045,0.0005874626694433296,0.7207594193868383,0.5245899963165407,1.3338616038176916,-0.02860766517603486,0.26840514915691094,0.9819223985890653,am_common
sequence_unfitted,structured,702,0.08815057967445729,0.008553270721806701,0.804149510702115,0.6550110754699862,1.725795930073571,-0.012240296055432654,0.18255688754506727,0.9819223985890653,am_common
