run_id,score_lane,gene,pmid,tp,fp,fn,phenotype_capture,phenotype_abs_error,phenotype_supplied_fields,phenotype_positive_supplied_fields,phenotype_wrong_supplied_fields,carriers_asserted,carriers_supplied,carriers_supplied_exact,carriers_wrong_supplied,carriers_abs_error,carriers_missing_positive_fields,carriers_missing_gold_zero_fields,carriers_overcount_units,carriers_supplied_undercount_units,carriers_identity_miss_error,carriers_abstained_error,carriers_supplied_error,affected_asserted,affected_supplied,affected_supplied_exact,affected_wrong_supplied,affected_abs_error,affected_missing_positive_fields,affected_missing_gold_zero_fields,affected_overcount_units,affected_supplied_undercount_units,affected_identity_miss_error,affected_abstained_error,affected_supplied_error,unaffected_asserted,unaffected_supplied,unaffected_supplied_exact,unaffected_wrong_supplied,unaffected_abs_error,unaffected_missing_positive_fields,unaffected_missing_gold_zero_fields,unaffected_overcount_units,unaffected_supplied_undercount_units,unaffected_identity_miss_error,unaffected_abstained_error,unaffected_supplied_error
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,19160088,1,0,0,all_na,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,19348785,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,19880070,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,21952006,1,0,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,22539601,1,0,6,all_na,0,0,0,0,7,0,0,0,17,7,0,0,0,8,9,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,25444851,1,3,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,26481773,0,0,1,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,29488358,1,4,0,all_na,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,31293497,1,1,0,all_supplied,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,RYR2,17199967,1,0,0,partial,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
