gene,variant_type,affected,unaffected,prior_mean,prior_strength,posterior_mean,example_only_not_added_to_fit
BRCA2,missense,0,2,0.1485981658574783,6.106774427938625,0.11193792147091687,True
BRCA2,missense,0,5,0.1485981658574783,6.106774427938625,0.08170288189290716,True
BRCA2,missense,0,10,0.1485981658574783,6.106774427938625,0.056339988081224326,True
BRCA2,missense,0,100,0.1485981658574783,6.106774427938625,0.00855228597975448,True
BRCA2,missense,1,0,0.1485981658574783,6.106774427938625,0.2683996092233229,True
BRCA2,missense,1,1,0.1485981658574783,6.106774427938625,0.2352915448989562,True
BRCA2,nonsense,0,0,0.6579740789425415,5.417973655095902,0.6579740789425415,True
BRCA2,nonsense,0,1,0.6579740789425415,5.417973655095902,0.5554535460917862,True
BRCA2,nonsense,0,2,0.6579740789425415,5.417973655095902,0.4805741286230805,True
BRCA2,nonsense,0,5,0.6579740789425415,5.417973655095902,0.34218614324321445,True
BRCA2,nonsense,0,10,0.6579740789425415,5.417973655095902,0.23121626130606504,True
BRCA2,nonsense,0,100,0.6579740789425415,5.417973655095902,0.033816683264185986,True
BRCA2,nonsense,1,0,0.6579740789425415,5.417973655095902,0.7112659650483513,True
BRCA2,nonsense,1,1,0.6579740789425415,5.417973655095902,0.6153818330577052,True
KCNQ1,missense,0,0,0.2947603080755296,2.1652682418978677,0.2947603080755296,True
KCNQ1,missense,0,1,0.2947603080755296,2.1652682418978677,0.20163698153597734,True
KCNQ1,missense,0,2,0.2947603080755296,2.1652682418978677,0.15322785880343917,True
KCNQ1,missense,0,5,0.2947603080755296,2.1652682418978677,0.08907344603178823,True
KCNQ1,missense,0,10,0.2947603080755296,2.1652682418978677,0.052463712378314695,True
KCNQ1,missense,0,100,0.2947603080755296,2.1652682418978677,0.006247085188841469,True
KCNQ1,missense,1,0,0.2947603080755296,2.1652682418978677,0.5175659719334573,True
KCNQ1,missense,1,1,0.2947603080755296,2.1652682418978677,0.3933084351132997,True
KCNQ1,nonsense,0,0,0.529865444414281,4.803678240557634,0.529865444414281,True
KCNQ1,nonsense,0,1,0.529865444414281,4.803678240557634,0.4385672327540546,True
KCNQ1,nonsense,0,2,0.529865444414281,4.803678240557634,0.3741069191931198,True
KCNQ1,nonsense,0,5,0.529865444414281,4.803678240557634,0.25962736059884245,True
KCNQ1,nonsense,0,10,0.529865444414281,4.803678240557634,0.17193720806379834,True
KCNQ1,nonsense,0,100,0.529865444414281,4.803678240557634,0.024286390978702155,True
KCNQ1,nonsense,1,0,0.529865444414281,4.803678240557634,0.6108717538785609,True
KCNQ1,nonsense,1,1,0.529865444414281,4.803678240557634,0.5210862390026408,True
